Product name,Unit Cost,SubCategory ID,Brand,Product ID
Parachute Advansed Aloe Vera Enriched Coconut Hair Oil ...250 ml,120,Subcat12,Parachute,FUR-FU-10003878
Coco Soul Hair Oil for Long Strong Black Hair with Virg...95 ml,319,Subcat12,Coco,FUR-FU-10001861
TNW - The Natural Wash Pure Cold Pressed Neem Oil for S...100 ml,179,Subcat12,TNW,TEC-PH-10001644
Parachute Pure Coconut Hair Oil600 ml,208,Subcat12,Parachute,TEC-PH-10001427
Navratna Cool Ayurvedic Pack of 2 Hair Oil600 ml,301,Subcat12,Navratna,FUR-FU-10000628
Phillauri Onion Oil for Hair Regrowth Aryuvedic Hair Oi...300 ml,258,Subcat12,Phillauri,OFF-LA-10003955
Coco Soul Hair Fall Control Hair Oil Ayurvedic Medicine...95 ml,319,Subcat12,Coco,OFF-ADV-10002549
indulekha Bringha Hair Oil50 ml,226,Subcat12,indulekha,OFF-AR-10002897
WOW SKIN SCIENCE Onion Hair Oil for Hair Growth and Hai...200 ml,349,Subcat12,WOW,OFF-AR-10002486
WHEEZAL jaborandi hair oil (110ml) Hair Oil110 ml,125,Subcat12,WHEEZAL,OFF-PA-10002363
EMAMI 7 Oils In One Non Sticky  Hair Oil500 ml,166,Subcat12,EMAMI,OFF-PA-10001972
Kesh King Ayurvedic  Hair Oil300 ml,279,Subcat12,Kesh,FUR-CH-10004652
"mars by GHC Onion Hair Oil, Controls Hair Fall and Prom...200 ml",310,Subcat12,mars,OFF-BI-10004553
MamaEarth Onion Hair Oil for hair growth with Onion & R...250 ml,500,Subcat12,MamaEarth,OFF-OIC-10000121
Rey Naturals Cold-Pressed 100% Pure Castor Oil Hair Oil200 ml,199,Subcat12,Rey,FUR-FU-10002268
Sandarbh Onion Hair Oil with 14 Essential Oils for Hair...60 ml,149,Subcat12,Sandarbh,OFF-LA-10004774
REGLET Onion Oil - Black Seed Onion Hair Oil - WITH COM...60 ml,179,Subcat12,REGLET,FUR-FU-10000221
NATURE LIGHT ON&ON MAHA BHRINGRAJ HERBAL HAIR OIL Hair ...200 ml,380,Subcat12,NATURE,OFF-IBI-10000440
"NIHAR Shanti Amla & Badam Hair Oil, For Black, Silky & ...1000 ml",272,Subcat12,NIHAR,OFF-LA-10003487
Navratna Ayurvedic Cool Hair Oil300 ml,165,Subcat12,Navratna,TEC-OKI-10002750
HAIR & CARE Triple Blend Damage Repair Non-Sticky Hair ...300 ml,121,Subcat12,HAIR,FUR-BO-10003913
Phillauri ADIVASI herbal products Adivasi hair oil Hair...300 ml,251,Subcat12,Phillauri,TEC-PH-10001432
"Organic Harvest Cold Pressed Pure Argan Oil of Morocco,...30 ml",357,Subcat12,Organic,TEC-CO-10000660
EMAMI 7 Oils in 1 Hair Oil300 ml,153,Subcat12,EMAMI,OFF-ST-10000362
"Parachute Advansed Ayurvedic Hot Oil, Warming Coconut H...400 ml",172,Subcat12,Parachute,TEC-PH-10000800
DOVE Hair Fall Rescue Shampoo340 ml,293,Subcat13,DOVE,FUR-TA-10000665
L'Oréal Professionnel Xtenso Care Shampoo250 ml,591,Subcat13,L'Oréal,TEC-AC-10001432
"DOVE Anti Dandruff Solutions Shampoo, Prevents Dandruff...1 L",799,Subcat13,DOVE,FUR-BO-10000967
Kesh King Ayurvedic Scal & Hair Shampoo600 ml,243,Subcat13,Kesh,TEC-PH-10004614
"HIMALAYA Anti-Hair Fall Shampoo,400 ml",196,Subcat13,HIMALAYA,FUR-CH-10003950
HEAD & SHOULDERS Silky Black Shampoo650 ml,370,Subcat13,Head & Shoulders,OFF-ST-10000095
HEAD & SHOULDERS 2 in 1 Anti Dandruff Shampoo+Condition...680,678,Subcat13,Head & Shoulders,TEC-MA-10002874
"MamaEarth ""Onion Hair Fall Shampoo for Hair Growth & Ha...250 ml",321,Subcat13,MamaEarth,FUR-CH-10000488
TRESemme Keratin Smooth Shampoo1 L,579,Subcat13,TRESemme,TEC-CO-10003534
Kesh King Scalp and Hair Medicine Ayurvedic Hairfall Ex...340 ml,225,Subcat13,Kesh,OFF-AR-10003554
"Scalpe Pro Daily Anti Dandruff Shampoo,100ml x 2200 ml",259,Subcat13,ScalpePro,TEC-MA-10003198
HEAD & SHOULDERS Anti-Dundruff Smooth & Silky Shampoo650 ml,360,Subcat13,Head & Shoulders,OFF-PA-10003899
DABUR VATIKA Henna and Amla Health Shampoo640 ml,236,Subcat13,DABUR,TEC-AC-10001564
"L'Oréal Paris Dream Lengths Shampoo, 1 ltr1 L",671,Subcat13,L'Oréal,OFF-AR-10003247
indulekha Bringha Hair Cleanser100 ml,132,Subcat13,indulekha,OFF-AR-10001461
"DOVE Anti Dandruff Clean & Fresh Shampoo, Prevents Dand...1 L",749,Subcat13,DOVE,OFF-AR-10000584
SUNSILK Stunning Black Shine Shampoo & Conditioner990 ml,592,Subcat13,SUNSILK,OFF-SU-10001657
MATRIX Opti Care Smooth Straight Professional Shampoo f...200 ml,257,Subcat13,MATRIX,OFF-AR-10000387
"PANTENE Advanced Haircare Solution, Lively Clean Shampo...650 ml",477,Subcat13,PANTENE,OFF-PA-10000908
Dabur Almond Shampoo650 ml,315,Subcat13,Dabur,OFF-LA-10000950
L'Oréal Paris Total Repair 5 Repairing Shampoo with Ker...1 L,559,Subcat13,L'Oréal,FUR-FU-10001507
SUNSILK Coconut Water and Aloe Vera Volume Hair Shampoo370 ml,218,Subcat13,SUNSILK,FUR-BO-10003384
Kesh King Scalp and Hair Medicine Anti-Dandruff Shampoo340 ml,237,Subcat13,Kesh,FUR-BO-10004404
"PANTENE Advanced Hairfall Solution, 2in1 Anti-Hairfall ...650 ml",507,Subcat13,PANTENE,FUR-CH-10002250
SUNSILK Stunning Black Shine1 L,623,Subcat13,SUNSILK,FUR-CH-10001752
HIMALAYA Anti Hair Fall Shampoo700 ml,359,Subcat13,HIMALAYA,TEC-CO-10002350
L'Oréal Professionnel by L'Oreal Professionnel Absolut ...300 ml,674,Subcat13,L'Oréal,OFF-ROG-10000191
L'Oréal Paris Total Repair 5 Shampoo192.5 ml,171,Subcat13,L'Oréal,TEC-AC-10004353
"L'Oréal Paris 6 Oil Nourish Shampoo, 1 ltr1 L",531,Subcat13,L'Oréal,OFF-BI-10002919
Vedix Ayurvedic Dhavath Hair fall Shampoo For Men With ...100 ml,296,Subcat13,Vedix,OFF-PA-10000994
"Schwarzkopf Simply Color Permanent Hair Colour , 4.68 M...",725,Subcat14,Schwarzkopf,OFF-PA-10000587
"VIP Hair Colour Shampoo 5 in 1 , Black",444,Subcat14,VIP,OFF-AR-10002340
"GARNIER Color Naturals Creme , Shade 1, Natural Black",162,Subcat14,GARNIER,OFF-EN-10001990
"GARNIER Color Naturals Creme , Shade 3, Darkest Brown",160,Subcat14,GARNIER,OFF-PA-10000327
"GARNIER Color Naturals Creme , Shade 3.16, Burgundy",168,Subcat14,GARNIER,OFF-AP-10004958
"GARNIER Color Naturals Creme , Shade 4, Brown",160,Subcat14,GARNIER,TEC-PH-10001128
"L'Oréal Paris Excellence Creme Hair Color , 3 Dark Brow...",496,Subcat14,L'Oréal,TEC-PH-10001751
"Indus Valley Damage Free Gel Hair Color - Black , Black",569,Subcat14,Indus,TEC-CO-10003982
"GARNIER Color Naturals Creme , Shade 5.32, Caramel Brow...",150,Subcat14,GARNIER,OFF-AP-10003308
BEAUTE BLANC Fruit Vinegar Gel Hair Color - Black + Hai...,470,Subcat14,BEAUTE,TEC-MA-10003351
"Schwarzkopf Colour Specialist Permanent Hair Colour , 3...",675,Subcat14,Schwarzkopf,TEC-CO-10002567
"Schwarzkopf Colour Specialist Permanent Hair Colour , 5...",675,Subcat14,Schwarzkopf,OFF-AP-10003842
"GARNIER Color Naturals Creme , Shade 5, Light Brown",160,Subcat14,GARNIER,FUR-FU-10003192
"Bigen Men's Beard Color B 101 , Natural Black",405,Subcat14,Bigen,TEC-CO-10003142
"L'Oréal Paris Casting Creme Gloss Hair Color , Ebony Bl...",506,Subcat14,L'Oréal,TEC-CO-10001968
"L'Oréal Paris Casting Creme Gloss Hair Color , Dark Bro...",506,Subcat14,L'Oréal,TEC-MOT-10001950
"Schwarzkopf Colour Specialist Permanent Hair Colour , 4...",675,Subcat14,Schwarzkopf,OFF-PA-10003139
"Indus Valley Halal Natural- Dark Brown 3.00 , Dark Brow...",569,Subcat14,Indus,OFF-AR-10003536
"L'Oréal Paris Excellence Creme Hair Color , Natural Bro...",520,Subcat14,L'Oréal,TEC-CO-10001756
MamaEarth Natural Henna Paste with Henna & Dark Roasted...,228,Subcat14,MamaEarth,OFF-EN-10004788
